"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AggregatorHost","0","234","2203428966400","17772544","4386816","13264",,,,,,,,,,"Process",,,"8",,,,,"7824",".",,,,"13264","13264","4386816","4386816","141904","141904","5472256","5472256","30146560","30146560","2203443142656","124919808",,,"4386816","4386816",,"0",,"System.Diagnostics.ProcessThreadCollection","234","2203428966400","110743552","False",,,,"17772544","17772544",,,,,,"AggregatorHost","0","","True",,
"ai","1","230","2203578019840","41263104","23625728","18904","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\ai.exe"" ""2F84BB95-B675-4E63-8A2F-6CA4EF577E0D"" ""70BC0D02-9F57-4B2A-AA47-99FCFABEC193"" ""15780"" ""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE"" ""WordCombinedFloatieLreOnline.onnx""","System.Diagnostics.Process (OUTLOOK)","Microsoft Corporation","1.640625","0.18.0.0","0.18.0.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4992","8",,"False","2/6/2026 8:22:35 AM",,"2468",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18904","18904","23625728","23625728","246256","246256","23851008","23851008","41312256","41312256","2203594801152","276578304","True","Normal","23625728","23625728","4095","1",,"System.Diagnostics.ProcessThreadCollection","230","2203578019840","259796992","False",,,,"41263104","41263104",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:01.0156250","00:00:01.6406250","00:00:00.6250000","ai","0","","True",,
"AppActions","1","387","2480972591104","49995776","13373440","21688","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"" -Embedding",,"Microsoft Corporation","0.796875","10.0.26100.7705","10.0.26100.7705","AppActions","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3880","8",,"False","2/7/2026 3:39:35 PM",,"28372",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21688","21688","13373440","13373440","402448","402448","18677760","18677760","55537664","55537664","2481015504896","-1475592192","True","Normal","13373440","13373440","4095","1",,"System.Diagnostics.ProcessThreadCollection","387","2480972591104","-1518505984","False",,,,"49995776","49995776",,"System.Diagnostics.ProcessModule (AppActions.exe)","00:00:00.2656250","00:00:00.7968750","00:00:00.5312500","AppActions","0","","True",,
"ApplicationFrameHost","1","440","2203833655296","82415616","61689856","24760","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","1.109375","10.0.26100.7309 (WinBuild.160101.0800)","10.0.26100.7309","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4808","8",,"False","2/6/2026 8:22:04 AM",,"3856",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24760","24760","61689856","61689856","636184","636184","65085440","65085440","87400448","87400448","2203883098112","564875264","True","Normal","61689856","61689856","4095","1",,"System.Diagnostics.ProcessThreadCollection","440","2203833655296","515432448","False",,,,"82415616","82415616",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.6718750","00:00:01.1093750","00:00:00.4375000","ApplicationFrameHost","1706668","Settings","True",,
"audiodg","0","232","2203421794304","16109568","6582272","11352",,,,,"4.921875",,,,,"Process",,,"8",,,"2/7/2026 5:54:23 PM",,"25700",".",,,,"11352","11352","6582272","6582272","103336","103336","7794688","7794688","17240064","17240064","2203425820672","107597824",,,"6582272","6582272",,"0",,"System.Diagnostics.ProcessThreadCollection","232","2203421794304","103571456","False",,,,"16109568","16109568",,,"00:00:03.2968750","00:00:04.9218750","00:00:01.6250000","audiodg","0","","True",,
"AutoModeDetect","1","196","2203438305280","15495168","3080192","13400",,,,,"1.109375",,,,,"Process",,,"8",,"False","2/6/2026 8:18:41 AM",,"8380",".",,,,"13400","13400","3080192","3080192","150496","150496","3170304","3170304","15536128","15536128","2203444027392","125804544",,,"3080192","3080192",,"1",,"System.Diagnostics.ProcessThreadCollection","196","2203438305280","120082432","False",,,,"15495168","15495168",,,"00:00:00.5781250","00:00:01.1093750","00:00:00.5312500","AutoModeDetect","0","","True",,
"BingWallpaper","1","1561","782213120","212148224","123076608","115256","C:\Program Files\WindowsApps\Microsoft.BingWallpaper_1.1.440.0_x86__8wekyb3d8bbwe\BingWallpaper.exe","""C:\Program Files\WindowsApps\Microsoft.BingWallpaper_1.1.440.0_x86__8wekyb3d8bbwe\BingWallpaper.exe"" ","System.Diagnostics.Process (sihost)","Microsoft Corporation","152.046875","1.0.0.0","1.0.0+0d2f81193b1c25244c15577e7386727757cfc701","BingWallpaper","Bing Wallpaper","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3368","8",,"False","2/6/2026 8:22:31 AM",,"21476",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","115256","115256","123076608","123076608","1093392","1093392","295198720","295198720","365858816","365858816","948477952","948477952","True","Normal","123076608","123076608","4095","1",,"System.Diagnostics.ProcessThreadCollection","1561","782213120","782213120","False",,,,"212148224","212148224",,"System.Diagnostics.ProcessModule (BingWallpaper.exe)","00:01:22.7343750","00:02:32.0468750","00:01:09.3125000","BingWallpaper","0","","True",,
"Code","1","985","2238883446784","215977984","186085376","32888","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --disable-skia-graphite --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1284 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","156.578125","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4920","10",,"False","2/6/2026 8:58:23 AM",,"8596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32888","32888","186085376","186085376","1257424","1257424","301166592","301166592","342970368","342970368","2238934306816","1256345600","True","AboveNormal","186085376","186085376","4095","1",,"System.Diagnostics.ProcessThreadCollection","985","2238883446784","1205485568","False",,,,"215977984","215977984",,"System.Diagnostics.ProcessModule (Code.exe)","00:01:21.1718750","00:02:36.5781250","00:01:15.4062500","Code","0","","True",,
"Code","1","351","3695560761344","114720768","81084416","31560","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\StevePaylor\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1676,i,17323854541520974568,9933137866804768006,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EnableTransparentHwndEnlargement,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=3588 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","27.53125","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3296","8",,"False","2/6/2026 8:58:24 AM",,"8944",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31560","31560","81084416","81084416","622744","622744","83288064","83288064","116072448","116072448","3695600615424","1928740864","True","Normal","81084416","81084416","4095","1",,"System.Diagnostics.ProcessThreadCollection","351","3695560761344","1888886784","False",,,,"114720768","114720768",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:15.7187500","00:00:27.5312500","00:00:11.8125000","Code","0","","True",,
"Code","1","218","3693671112704","124084224","60743680","26768","C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\StevePaylor\AppData\Local\Programs\Microsoft VS Code\Code.exe"" c:\Users\StevePaylor\.vscode\extensions\mtxr.sqltools-0.28.5\dist\languageserver.js --node-ipc --clientProcessId=11928","System.Diagnostics.Process (Code)","Microsoft Corporation","2.453125","1.109.0","1.109.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2316","8",,"False","2/6/2026 8:58:26 AM",,"8992",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26768","26768","60743680","60743680","601816","601816","70234112","70234112","129470464","129470464","3693713055744","41181184","True","Normal","60743680","60743680","4095","1",,"System.Diagnostics.ProcessThreadCollection","218","3693671112704","-761856","False",,,,"124084224","124084224",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.8593750","00:00:02.4531250","00:00:01.5937500","Code","0","","True",,
