
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     13     4.03      16.80       0.00    7824   0 AggregatorHost
     18    22.53      39.35       1.72    2468   1 ai
     21    12.75      47.68       0.83   28372   1 AppActions
     24    58.83      78.59       1.11    3856   1 ApplicationFrameHost
     11     6.26      15.34       3.67   17928   0 audiodg
     13     2.94      14.79       1.14    8380   1 AutoModeDetect
    112   117.32     202.14     159.30   21476   1 BingWallpaper
     32   165.15     194.02     171.98    8596   1 Code
     37    79.75     112.11      30.84    8944   1 Code
     26    58.18     118.40       2.55    8992   1 Code
     33   129.88     164.39      54.02    9960   1 Code
     78   474.94     507.11      54.88   11928   1 Code
     42   117.61     145.49      83.92   15776   1 Code
     22    25.66     101.00       1.84   17476   1 Code
     12    10.55      36.11       0.09   18336   1 Code
     52   316.92     355.39     388.08   20668   1 Code
     61   123.15     167.14     164.92   21112   1 Code
     22    28.32     104.28       2.12   22820   1 Code
     21    15.24      54.33      12.62   22888   1 Code
     10     1.60       8.82       4.92    1472   1 conhost
      8     1.03       6.73       0.00    5624   0 conhost
      8     1.11       6.80       0.00    7932   0 conhost
     10     1.39       8.54       0.00    8332   1 conhost
     11     1.69       9.92       0.11    8420   1 conhost
     10     1.58      10.30       0.00    9104   0 conhost
    133    78.53     218.33      12.36   15536   1 Copilot
     26    38.93      74.70       0.83    9452   1 CrossDeviceResume
     36     2.50       6.89       0.00     776   0 csrss
     35     3.86       8.27       0.00    1060   1 csrss
     22     8.75      38.32      26.58   13256   1 ctfmon
     18     9.30      25.54       0.00    4424   0 DAX3API
     12     3.36      15.43       0.00    8360   1 DAX3API
     13     2.75      18.41       0.20    8320   1 dllhost
     80   310.04     343.30       0.00    1800   1 dwm
     13   239.61      13.50       0.00    4492   0 ElevocControlService
    114   281.99     429.97     274.19    6840   1 explorer
     61   144.79     256.84      37.12   21336   1 explorer
     15     2.30       8.94       0.00   13976   0 fdhost
      7     1.05       7.05       0.00   17720   0 fdlauncher
     19     5.66      27.53       0.00   15900   0 FileSyncHelper
     15    19.63      33.68       1.69    8880   1 FnHotkeyCapsLKNumLK
     25    44.71      62.00       7.62    9184   1 FnHotkeyUtility
      8     2.07       6.62       0.00    1368   0 fontdrvhost
     10     4.39       9.86       0.00    1380   1 fontdrvhost
      6     0.72       4.60       0.00    4588   0 FpcSessionService
      0     0.06       0.01       0.00       0   0 Idle
     36    39.57      49.82       0.00    4604   0 IntelAudioService
      9     1.41       7.71       0.00    2232   0 IntelCpHDCPSvc
     49    11.98      47.51       0.00    5532   0 IntelGraphicsSoftware.Service
     13     1.57       7.62       0.00    4468   0 ipfsvc
     11     2.05      12.06     313.92    8392   1 ipf_helper
      9     2.07       8.88       0.00    4648   0 ipf_uf
     10     1.39       8.67       0.00    4716   0 jhi_service
     22   103.05      37.31       0.00   20336   0 Launchpad
     15    22.51      36.07       0.00    4784   0 LenovoUtilityService
     16    10.44      23.83       0.00    4796   0 LNBITSSvc
     35    49.29     123.81       3.73   10552   1 LockApp
     13     1.75       4.88       0.00    1216   0 LsaIso
     31    17.54      44.37       0.00    1224   0 lsass
     56    84.33     158.55      12.12    6092   1 M365Copilot
      0     1.80     485.46       0.00    3420   0 Memory Compression
     42    62.50      75.71       0.00   16396   0 Microsoft.SqlServer.IntegrationServices.MasterServiceHost
     40    69.27      82.00       0.00    2160   0 Microsoft.SqlServer.IntegrationServices.WorkerAgentServiceHost
     21    13.96      31.96       0.00    4836   0 MpDefenderCoreService
     96   646.37     477.92       0.00    3616   0 mpdwsvc
     90   438.82     265.90       0.00    7528   0 mpdwsvc
     63    95.41      46.78      22.88    3536   1 ms-teams
     59    42.27      60.90      20.25   16300   1 ms-teams
     26    71.87      28.07       0.00   17816   0 MsDtsSrvr
     27    49.81      85.30      49.38    5160   1 msedge
     16     9.19      26.47      50.94    5172   1 msedge
     49   250.48     279.43     959.88    6516   1 msedge
     22    23.83      56.42       0.66    8336   1 msedge
     39    99.49      68.13      10.66    8388   1 msedge
     36   127.99      55.47      14.92    9156   1 msedge
     29   102.38      79.63       8.67    9164   1 msedge
     32    32.82      69.16      64.91    9600   1 msedge
     39   152.45      86.64       8.84   11788   1 msedge
     11     9.83      23.45       0.17   12760   1 msedge
     40   215.31     254.43   1,620.86   14108   1 msedge
     35   236.47     181.57      15.80   17604   1 msedge
     28    53.01      37.10       6.53   17828   1 msedge
     10     2.52      12.80       0.16   18844   1 msedge
     25    64.31      74.77       0.77   18916   1 msedge
    271   188.92     425.14     568.58   19016   1 msedge
     16    10.08      31.75       2.28   20448   1 msedge
     55   514.97     153.52       8.42   21940   1 msedge
     22    24.77      10.66       0.73   23476   1 msedge
     28    76.06      58.36       3.88   23736   1 msedge
     27    47.77      15.09       2.31   24084   1 msedge
     18    19.29      35.62       0.23   24124   1 msedge
     14    11.16      25.22       1.84   24508   1 msedge
     27    36.18      35.98       6.45   25716   1 msedge
     23    39.06      11.63       1.78   26416   1 msedge
     12     8.92      22.92       0.64    3208   1 msedgewebview2
     21    12.59      25.56       1.34    4500   1 msedgewebview2
     40   360.03      15.83      50.39    6500   1 msedgewebview2
     12    10.89       5.74       0.31    6608   1 msedgewebview2
     21    17.02      14.75       6.59    9772   1 msedgewebview2
     60    48.73      48.34      19.78   10520   1 msedgewebview2
     10     2.45      12.18       0.03   10992   1 msedgewebview2
     57    42.49     131.71      39.50   11176   1 msedgewebview2
     26    65.38      81.20       1.22   11316   1 msedgewebview2
     20    13.24      42.49       1.38   11320   1 msedgewebview2
     59    45.85      14.54      26.98   11388   1 msedgewebview2
     10     2.49      12.02       0.06   11460   1 msedgewebview2
     11     2.53      12.26       0.23   11552   1 msedgewebview2
